store_name,rating,reviewer_name,review_text
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0073,スタバの定員さんで嫌な思いをしたことがない 皆さん笑顔が素敵な方達です
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0074,いつも利用しますが混雑しています でもスタッフの対応が いいので素早く接客されています
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0075,抹茶クリームフラペチーノを注文しました お店は混んでいましたが 店員さんの対応が素敵でした _
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0076,フラペチーノを購入したんだけど他の食べ物もお薦めされ良い雰囲気のお店でした
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0077,店員の対応もよかったです 平日は人が少なくてとても良い
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0078,仕方ないことだけど お客さんが異常に多い 並ぶことがキライなイラッチな私にはムリゲー
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0079,ジアウトレットにいったら山の上ですごく寒かった 買い物の後 温かいラテを飲んでホッコリして帰りました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0080,ご時世なので店内ではなく外のテーブルで 風も気持ちよくゆっくり出来ました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0081,対応してくれた女性スタッフが感じが良く丁寧にコーヒーの説明してくれました レジの女性スタッフも明るくて感じが良かったです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0082,スポーツのショップが多いので個人的には大変使い勝手がいいです あと飲食店も色々有って楽しいです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0083,お店の雰囲気良く もちろんスタッフさんの応対もグッド でした ソイラテが好きです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0084,久しぶりにスタバへ 今年のクリスマスブレンドもおいしい それにあったケーキもおいしい
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0085,寒い時に 急に寄りたくなるコーヒーです 接客も良くてコーヒーもやっぱり美味い
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0086,たまに コーヒー 飲んでゆっくりします
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0087,広島で唯一のビールコーヒーが飲めるお店 正直普通にコーヒーを飲んだほうが美味しいかったです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0088,コロナ対策でなかなか足を運べないから 久しぶりのスタバ やっぱり最高です
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0089,テイクアウトのみでしたが 店の 外で お客さんが連れている犬や 前を通りかかるカップルや
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0090,このお店とあと一つの店舗しかない変わったコーヒーがあります 試飲しましたが美味しかったです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0091,暇だったせいか 店員さんがフレンドリーで良い笑顔で話しかけてくださいました
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0092,アウトレットモール敷地内にあるので 買い物途中に立ち寄るのにいい 近くにアンダーアーマーなどのブランド店が近い
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0093,初めて行った場所 イートインもあるし 天気が良ければ 持ち帰りにして近くで飲んでもいいかも
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0094,人多過ぎ アイスのカップもホットと同じになった 前の方が良かったな
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0095,時間帯によってはすいているのでゆっくりできる
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0096,待っている間にメニューを渡してくれたり ホイップクリームの増量をしてくれたりとても親切にしていただきました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0097,ジアウトレットの地上部にあるスタバです 店の雰囲気は通常のスタバです いつもの美味しい珈琲です
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0098,見た目よりは店内が広かった
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0099,広島市内でこちらの店舗でしか味わえないドリンクがあったりするので侮れません
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0100,もう1店舗あって良い程人気です
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0101,一般客ですがお昼の食事をここですると量があって安くて美味しいです
スターバックス コーヒー ジ アウトレット広島店,1.0,user_0102,客のことを考えない待たせ方 店員のいないレジで待たせて 次の客を呼ぶ
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0103,スタッフのお姉さんのカンジのいいこと
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0104,当日 レシートでもういっぱいお安く飲めるのでお得です
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0105,オシャレで綺麗で 洗練されてました
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0106,店内の椅子が狭かったきがしました そして汚れていたので星３つ
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0107,土曜日15時位でしたが外に20人以上の行列が有りました
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0108,平日は比較的空いてるので買いやすいです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0109,店員さんの動きもよくて対応も最高です
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0110,休みで人は多かった トイザらスに買いたい物が有りましたが店の名前を間違い又移動して疲れました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0111,ほんとに親切に対応していただきました また来ようと思います
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0112,OUTLET内にありますが私がいったときは午前中でそんなに待ちませんでした
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0113,いちごのフラペチーノが今日まででした 最終日にやっと飲めました
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0114,値段はアウトレットでは無いですね アウトレットに有ると言う特徴が無いかな
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0115,スタバはちょっと 値段は高いですが 間違いなく美味しいです
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0116,広い店内で一休み いいと思いますよ
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0117,抹茶カフェ 最高 粉多めの全ミルクは最高の一時でした
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0118,美味しい あんまり利用したことないですが
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0119,開店前から並んでる人がいました
スターバックス コーヒー ジ アウトレット広島店,1.0,user_0120,違う商品渡されて 謝罪もなし どうかしてるこの店は
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0121,買い物ついでに寄ってみました
スターバックス コーヒー ジ アウトレット広島店,2.0,user_0122,ダークモカチップフラペチーノを頼んだのに別のフラペチーノが来ました
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0123,いつも利用しますが 凄い人気です
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0124,広島県で2店舗しかない アイスコーヒーが飲める店 おすすめ
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0125,ごく普通のスターバックスコーヒーです 変わらないところがいいところでもあります
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0126,フラペチーノ コーヒーが美味しい
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0127,お店の方の対応がとても優しかったです
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0128,程よい苦味が くせになる 美味しさ 最高です
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0129,エスプレッソアフォガートフラペチーノを購入しました 美味しかったぁ
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0130,飲んだこと無いけど 凄く並んでます
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0131,何回か 前を通ってますが 人は 多いと思います
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0132,スタッフの方達がとても親切で居心地が良いです
スターバックス コーヒー ジ アウトレット広島店,2.0,user_0133,基本人が多く休日は特にかなり待ちます
スターバックス コーヒー ジ アウトレット広島店,4.0,user_0134,オヤジの憩いの場所はここ メロンメロンスムージーで幸せ気分
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0135,スタバにしては 人が少ない が 座席数も少ない
スターバックス コーヒー ジ アウトレット広島店,3.0,user_0136,コーヒーは 名前ほどでもないけど他は美味しいと思います
スターバックス コーヒー ジ アウトレット広島店,5.0,user_0137,目的を持って行った方がいいですね
